filename,line_count,date_guess,status_heuristic,purpose_headline
EXTRACTION_TEMPLATE_OBSERVATIONAL_FIELD_2026_02_09.md,504,"February 9, 2026",UNKNOWN,OBSERVATIONAL FIELD STUDY EXTRACTION TEMPLATE v1.0
EXTRACTION_TEMPLATE_PANEL_ADDITIONS_2026_02_09.md,327,"February 9, 2026",UNKNOWN,EXTRACTION TEMPLATE PANEL ADDITIONS v1.0
EXTRACTION_TEMPLATE_PHENOMENOLOGICAL_2026_02_09.md,525,"February 9, 2026",UNKNOWN,PHENOMENOLOGICAL STUDY EXTRACTION TEMPLATE v1.0
EXTRACTION_TEMPLATE_SYSTEMATIC_REVIEW_2026_02_03.md,1237,"February 9, 2026 (panel additions)",UNKNOWN,SYSTEMATIC REVIEW EXTRACTION TEMPLATE v1.1
EXTRACTION_TEMPLATE_THEORETICAL_2026_02_03.md,1159,"February 3, 2026",UNKNOWN,THEORETICAL PAPER EXTRACTION TEMPLATE v1.0
EXTRACTION_TEMPLATE_THEORETICAL_2026_02_09.md,624,"February 9, 2026",UNKNOWN,THEORETICAL PAPER EXTRACTION TEMPLATE v1.0
EXTRACTION_TEMPLATE_THOUGHT_PIECE_2026_02_09.md,628,"February 9, 2026",UNKNOWN,THOUGHT PIECE / COMMENTARY EXTRACTION TEMPLATE v1.0
External_Evidence_Protocol_Pilot_2026-02-19.md,53,Date: 2026-02-19,UNKNOWN,External-Evidence Direction Pilot (2-of-3 Consensus)
Extraction_QC_Checklist_v18_3.md,7,,UNKNOWN,Extraction QC Checklist (v18.3)
FINAL_SYSTEM_ASSESSMENT.md,222,2026-02-18,SUPERSEDED_OR_CAUTION,Final System Assessment — Article Eater CMR Pipeline
FROM_BAYESIAN_NETWORKS_TO_QUINEAN_WEBS_2026_01_19.md,898,"Date:** January 19, 2026",UNKNOWN,From Bayesian Networks to Quinean Webs: Rethinking Knowledge Synthesis in Environmental Psychology
GAP_PANEL_EXTRACTION_LOG.md,41,,UNKNOWN,Gap Panel JSON Extraction Log
GAP_PANEL_MASTER_PLAN_Feb21.md,503,"February 21, 2026, Session 6",CURRENT,GAP PANEL MASTER PLAN
GAP_RESOLUTION_IMPROVEMENTS_2026-02-12.md,269,2026-02-12,UNKNOWN,Gap Resolution Process Improvements
GOLD_STANDARD_TABLES_AND_RULES_HUMAN_GUIDE.md,155,"Date: February 14, 2026",UNKNOWN,Gold Standard Tables and Rules: Human Guide
GOLD_STANDARD_TABLES_AND_RULES_SPEC.md,142,"Date: February 14, 2026",CURRENT,Gold Standard Tables and Rules Specification
GUI_COMPLETION_FINAL.md,365,2025,UNKNOWN,🎉 GUI Improvements - FINAL COMPLETION REPORT
GUI_IMPROVEMENTS_REPORT.md,622,2025,UNKNOWN,Article Eater GUI Improvements - Complete Report
GUI_STYLE_GUIDE.md,805,2025,UNKNOWN,Article Eater GUI Style Guide & Standards
GUI_Spec_Library_and_RuleInspector_v18_2_0.md,1,,UNKNOWN,"GUI Spec: Library, Queue Monitor, Rule Inspector, Cost HUD."
GitHub_Upgrade_v19.1.5.md,13,,UNKNOWN,GitHub Upgrade — v19.1.5
HAIKU_TABLE_PROMPT_CANDIDATE_2026-02-13.md,48,date (For Gold Benchmarking),UNKNOWN,Haiku Table Prompt Candidate (For Gold Benchmarking)
HEALTH_CHECK_SETUP.md,231,"February 8, 2026",UNKNOWN,Health Check & Scheduled Testing Setup
HITL_LLM_RAG_direction_questions.md,4,2026-02-22T14:04:55.299862+00:00,UNKNOWN,Direction Adjudication Questions
HOW_TO_ENABLE_interactions_router.md,8,,UNKNOWN,Enable the Interactions Router
I9_RESEARCH_QUEUE_IMPLEMENTATION_2026-02-17.md,79,Date: 2026-02-17,UNKNOWN,Sprint 9 Queue Implementation (I9.1-I9.7)
IE_DPT_Full_T1_Specification.md,792,"February 20, 2026",CURRENT,Implicit–Explicit Dual-Process Theory of Environmental Response (IE-DPT)
IMPLEMENTATION_PLAN_BRIDGE_REPAIR_2026-02-10.md,784,2026-02-10,UNKNOWN,Implementation Plan: Epistemic-Causal Bridge Repair
IMPLEMENTATION_PLAN_INTEGRATION_2026-02-11.md,297,2026-02-11,UNKNOWN,Implementation Plan: Web-BN Integration
IMPLEMENTATION_TASKS.md,1370,,UNKNOWN,IMPLEMENTATION_TASKS.md — Epistemic Tier 2 Integration
IMPLEMENTATION_TASKS_ADDENDUM_SPRINT6.md,1084,"February 14, 2026",UNKNOWN,IMPLEMENTATION_TASKS_ADDENDUM_SPRINT6.md — Non-Empirical Web Integration
IMPLEMENTATION_TASKS_COMPLETE_V2.md,1370,,UNKNOWN,IMPLEMENTATION_TASKS.md — Epistemic Tier 2 Integration
INFRA_TASKS_2026-02-11.md,105,2026-02-11,UNKNOWN,VOI Discovery & PDF Retrieval Infrastructure Tasks
INSTALL_git_cli.md,140,version control on a,UNKNOWN,Install and Run – git + Terminal (local developer workflow)
INSTALL_github.md,97,,UNKNOWN,Install and Run – GitHub‑hosted repository
INSTALL_mac_terminal.md,115,,UNKNOWN,"Install and Run – macOS (no git, Terminal only)"
INTEGRATION_ARCHITECTURE_WEB_BN_2026-02-11.md,1624,2026-02-11,CURRENT,Integration Architecture: Epistemic Web + Bayesian Network
INVARIANTS.md,326,2026,CURRENT,System Invariants
JOB_STATUS_MODEL_v20_7_28.md,68,,UNKNOWN,Job Status Model – Article Eater v20.7.28
KBASE_ENHANCEMENT_FLAGS_2026_02_16.md,202,"February 16, 2026",UNKNOWN,Knowledge Base Enhancement Flags
LIBRARY_COMPACT_VIEW_EXAMPLE.md,320,,UNKNOWN,Library.html with Compact View - Implementation Example
LIGHT_I_Panel_Output_Feb21.md,1102,"Date: February 21, 2026",UNKNOWN,LIGHT-I EXPERT PANEL OUTPUT: CIRCADIAN AND NON-VISUAL PHOTORECEPTION
LLM_LADDER_AGENT_PROTOCOL.md,63,Date: 2026-02-18,UNKNOWN,LLM Ladder Agent Protocol
LeastCost_Processing_Plan_v18_2_0.md,3,2025-11-14),UNKNOWN,Least‑Cost Intelligence Plan — v18.2.0 (2025-11-14)
MEMORY_I_Panel_Output.md,1702,"Date: February 22, 2026",UNKNOWN,"MEMORY-I EXPERT PANEL OUTPUT: HIPPOCAMPAL ENCODING, CONSOLIDATION, AND ARCHITECTURAL MEMORY"
MISSING_PANELS_DOSSIER.md,39,2026-02-16,UNKNOWN,Missing Panel Dossier for OPUS Retrieval
MULTI_I_Panel_Output.md,1647,"Date: February 22, 2026",UNKNOWN,MULTI-I EXPERT PANEL OUTPUT: MULTISENSORY INTEGRATION AND MATERIAL PERCEPTION
MVP_CONTRACTS.md,362,Version: MVP-0 (2026-02-11)*,UNKNOWN,MVP Contracts Documentation
MVP_USER_GUIDE.md,247,2026-02-11,UNKNOWN,MVP User Guide
Non_Empirical_Web_Integration_Spec_V1.0.md,830,"Version 1.0 — February 14, 2026",SUPERSEDED_OR_CAUTION,Non-Empirical Paper Types: Extraction-to-Web Bridge Specification
OBSERVABILITY_PROFILE.md,42,,UNKNOWN,Article Eater Observability Profile
OFF_TOPIC_FILTER_CRITERIA_2026-02-11.md,196,2026-02-11,UNKNOWN,Off-Topic Filter Criteria for CNfA Corpus
OPUS_PROMPT_STRESS_I_GAP_PANEL.md,174,,UNKNOWN,MASTER PROMPT: OPUS EXPERT PANEL FOR STRESS-I CALIBRATION
OPUS_REVIEW_GUIDE.md,110,"Last updated: February 22, 2026",CURRENT,OPUS REVIEW GUIDE — Calibration Discipline Cheat Sheet
OPUS_REVIEW_GUIDE_ADDENDUM_TOULMIN.md,310,"February 22, 2026",UNKNOWN,OPUS REVIEW GUIDE — ADDENDUM: TOULMIN JUSTIFICATION LAYER
Opus_Transfer_Context_V10_0.md,158,"February 18, 2026 — Session: Sprint D Diagnosis, Adversarial Review, Philosopher Presenta",UNKNOWN,Opus Transfer Context V10.0
P8_1_VARIABLE_MAPPING_AUDIT_2026-02-17.md,111,2026-02-17,UNKNOWN,P8.1 Variable Mapping Coverage Audit
P8_2_CANONICAL_ENV_OUT_REGISTRY_2026-02-17.md,52,2026-02-17,UNKNOWN,P8.2 Canonical Env/Out Registry
P8_3_LLM_FALLBACK_RESOLUTION_2026-02-17.md,64,2026-02-17,UNKNOWN,P8.3 LLM Fallback for Unmapped Variables
P8_4_PGMPY_BN_INFERENCE_WIRING_2026-02-17.md,66,2026-02-17,UNKNOWN,P8.4 pgmpy BN Inference Wiring
P8_5_ZOTERO_BIBTEX_EXTRACTION_E2E_2026-02-17.md,52,2026-02-17,UNKNOWN,P8.5 Zotero -> BibTeX -> Extraction E2E Verification
P8_6_EXTRACTION_QUALITY_METRICS_2026-02-17.md,61,2026-02-17,UNKNOWN,P8.6 Extraction Quality Metrics
P8_6_QUALITY_GATE_FIX_2026-02-17.md,24,2026-02-17,UNKNOWN,P8.6 Quality Gate Fix
PANEL_ARCH4_EPISTEMIC_CALCULUS_2026-02-12.md,801,2026-02-12,UNKNOWN,Panel Consultation: Formal Epistemic Calculus
PANEL_BUG_FIXES_2026-02-11.md,281,2026-02-11),UNKNOWN,Panel Consultation: Bug Fixes (2026-02-11)
PANEL_CONSENSUS_TIER2_2026-02-14.md,202,"February 14, 2026",UNKNOWN,Panel Consensus Analysis: Epistemic Tier 2 Sprints 1-3
PANEL_CONSENSUS_TIER2_SPRINTS_4_4b_2026-02-14.md,260,"February 14, 2026",UNKNOWN,Panel Consensus: Epistemic Tier 2 — Sprints 4 + 4b
PANEL_CONSULTATION_ECB-3_2026-02-10.md,221,2026-02-10,UNKNOWN,Panel Consultation: Sprint ECB-3 Review
PANEL_CONSULTATION_ECB_FULL_REVIEW_2026-02-10.md,370,2026-02-10,UNKNOWN,Panel Consultation: Full ECB Repair Sprint Review
PANEL_CONSULTATION_ENTRENCHMENT_2026-02-08.md,211,"February 8, 2026",UNKNOWN,Panel Consultation: Entrenchment as Emergent Property
PANEL_CONSULTATION_P-VOI_2026-02-09.md,472,2026-02-09,SUPERSEDED_OR_CAUTION,Panel Consultation P-VOI: Value of Information - Theoretical Grounding
PANEL_CONSULTATION_QUERY_ALERTS_2026-02-09.md,508,2026-02-09,UNKNOWN,Panel Consultation: Query Alerts and Monitoring System
PANEL_CONSULTATION_SPRINT_3.0_CONSOLIDATED_2026-02-09.md,390,2026-02-09,UNKNOWN,Panel Consultation: Sprint 3.0 Implementation Decisions (Consolidated)
PANEL_CONSULTATION_SPRINT_3.0_PLAN_2026-02-09.md,203,2026-02-09,UNKNOWN,Panel Consultation Plan: Sprint 3.0 Decisions Review
PANEL_CONVERGENCE_RULE_PIPELINE_2026-02-14.md,78,2026-02-14),UNKNOWN,Panel Convergence: Rule/Claim Pipeline Reliability (2026-02-14)
PANEL_MVP0_CONTRACTS_2026-02-11.md,185,2026-02-11 (Retroactive),UNKNOWN,Panel Consultation: MVP-0 Contracts & Schemas Design
PANEL_MVP1_DECISIONS_2026-02-11.md,154,2026-02-11 (Retroactive),CURRENT,Panel Consultation: MVP-1 Persistent Web State Decisions
PANEL_MVP2_DECISIONS_2026-02-11.md,168,2026-02-11 (Retroactive),UNKNOWN,Panel Consultation: MVP-2 Batch Processing Decisions
PANEL_MVP3_QUERY_ENGINE_2026-02-11.md,332,2026-02-11,UNKNOWN,Panel Consultation: MVP-3 Query Engine Implementation
PANEL_MVP_GUI_DECISIONS_2026-02-11.md,148,2026-02-11,UNKNOWN,Panel Consultation: MVP-GUI Backend Wiring Decisions
PANEL_P-ECB-R_CONTEXT_2026-02-10.md,365,2026-02-10,UNKNOWN,Panel P-ECB-R: Epistemic-Causal Bridge Repair
PANEL_P-ECB-R_PLAN_REVIEW_2026-02-10.md,299,2026-02-10,UNKNOWN,Panel P-ECB-R: Implementation Plan Review
PANEL_P-ECB-R_RESPONSES_2026-02-10.md,383,2026-02-10,UNKNOWN,Panel P-ECB-R: Expert Responses
PANEL_P-EC_SPRINT_1.5_REVIEW_2026_02_08.md,265,"February 8, 2026",UNKNOWN,Panel P-EC: Sprint 1.5 Epistemic-Causal Integration Review
PANEL_P-INT_MVP_INTEGRATION_2026-02-11.md,365,2026-02-11,UNKNOWN,Panel Consultation: MVP Integration Strategy
PANEL_P-QW_QUALITY_WEIGHTED_ENTRENCHMENT_REVIEW_2026_02_08.md,405,"February 8, 2026",UNKNOWN,Panel P-QW: Quality-Weighted Entrenchment Review
PANEL_P-TC_TASK_CONTEXT_REVIEW_2026_02_08.md,351,"February 8, 2026",UNKNOWN,Panel P-TC: Task Context Integration Review
PANEL_P-TD_TECHNICAL_DEBT_REVIEW_2026_02_08.md,997,"February 8, 2026",UNKNOWN,Panel P-TD: Technical Debt Implementation Review
PANEL_QUEUE_PRIORITIZATION_2026-02-15.md,442,2026-02-15,UNKNOWN,Expert Panel Consultation: Research Queue Prioritization
PANEL_REVIEW_ARCH4_P2_P6_2026-02-14.md,326,"February 14, 2026",UNKNOWN,Panel Review: ARCH-4 P2-P6 Implementation
PANEL_REVIEW_SPRINT5_LIGHT_2026-02-14.md,252,"February 14, 2026",UNKNOWN,Light Panel Review: Sprint 5 Integration Testing
PANEL_REVIEW_SPRINT6_EPISTEMIC_2026-02-14.md,348,"Date: February 14, 2026",UNKNOWN,Panel Review: Sprint 6a-6c Epistemic Foundations
PANEL_REVIEW_SPRINT_1_1_SCHEMAS_2026-02-13.md,233,2026-02-13,UNKNOWN,Panel Review: Sprint 1.1 Schema Design
PANEL_REVIEW_TABLE_PIPELINE_REDESIGN_2026-02-14.md,55,2026-02-14),UNKNOWN,Panel Review: Table Pipeline Redesign (2026-02-14)
PANEL_REVIEW_TIER2_SPRINTS_1_3_2026-02-14.md,299,"February 14, 2026",UNKNOWN,Panel Review: Epistemic Tier 2 — Sprints 1-3
PANEL_REVIEW_TIER2_SPRINTS_4_4b_2026-02-14.md,406,"February 14, 2026",UNKNOWN,Panel Review: Epistemic Tier 2 — Sprints 4 + 4b
PANEL_RUTHLESS_REVIEW_2026-02-12.md,319,2026-02-12,UNKNOWN,Ruthless Panel Review: Article Eater System
PDF_DATA_QUALITY_REPORT_2026-02-17.md,43,"Date:** February 17, 2026",UNKNOWN,PDF Data Quality Report
PENDING_REVIEW_MEMORY_I.md,105,"February 22, 2026",UNKNOWN,PENDING PRE-PANEL REVIEW — MEMORY-I (S-02)
PENDING_REVIEW_MULTI_I.md,100,"February 22, 2026",UNKNOWN,PENDING PRE-PANEL REVIEW — MULTI-I (S-03)
PENDING_REVIEW_SOCIAL_I.md,103,"February 22, 2026",UNKNOWN,PENDING PRE-PANEL REVIEW — SOCIAL-I (S-01)
PERFORMANCE_REPORT_2026-02-12.md,23,2026-02-12,UNKNOWN,Performance Report
PIPELINE_EXPECTATION_TESTS_2026-02-15.md,47,2026-02-15),UNKNOWN,Pipeline Expectation Tests (2026-02-15)
PIPELINE_FOUNDATION_AUDIT_2026-02-14.md,76,2026-02-14),UNKNOWN,Pipeline Foundation Audit (2026-02-14)
PRE_PANEL_REVIEW_CLEARANCE_MEMORY_I.md,181,"February 22, 2026",SUPERSEDED_OR_CAUTION,PRE-PANEL REVIEW CLEARANCE — MEMORY-I (S-02)
PRE_PANEL_REVIEW_CLEARANCE_MULTI_I (1).md,132,"February 22, 2026",UNKNOWN,PRE-PANEL REVIEW CLEARANCE — MULTI-I (S-03)
PRE_PANEL_REVIEW_CLEARANCE_MULTI_I.md,132,"February 22, 2026",UNKNOWN,PRE-PANEL REVIEW CLEARANCE — MULTI-I (S-03)
PRE_PANEL_REVIEW_CLEARANCE_SOCIAL_I.md,99,"February 22, 2026",UNKNOWN,PRE-PANEL REVIEW CLEARANCE — SOCIAL-I (S-01)
PROJECT_STATE.md,236,Last updated: 2026-02-22 20:30 — HUMAN,CURRENT,CMR PROJECT — COORDINATION PROTOCOL
Panel_Implicit_Explicit_T1_Theory.md,644,"February 20, 2026",UNKNOWN,Expert Panel: Implicit–Explicit Dual-Process Theory (IE-DPT)
Pipeline_Workflow_Changes_V1.0.md,538,"Version 1.0 — February 14, 2026",UNKNOWN,Pipeline & Workflow Changes Required by Non-Empirical Web Integration
Pricing_Table_extraction_methods.md,116,Date: 2026-02-18,UNKNOWN,Pricing Table Extraction Methods
QA_AGENT_GENERATED_QUESTIONS_2026_02_16.md,266,"February 16, 2026",UNKNOWN,QA Agent: Generated Questions from Web/Templates
QA_AGENT_IMPLEMENTATION_PLAN_2026_02_16.md,1021,"February 16, 2026",UNKNOWN,QA Agent Implementation Plan
QA_AGENT_INTEGRATION_ANALYSIS_2026_02_16.md,545,"February 16, 2026",UNKNOWN,QA Agent Integration Analysis: Specification vs Reality
QA_AGENT_SPECIFICATION_AMENDMENTS_2026_02_16.md,939,"February 16, 2026",UNKNOWN,QA Agent Specification: Amendments from Query Testing
QA_AGENT_SPECIFICATION_PANEL_2026_02_16.md,998,"February 16, 2026",UNKNOWN,CNFA Question-Answering Agent Specification
QUALITY_WEIGHTED_ENTRENCHMENT_SPEC_2026_02_04.md,541,"February 4, 2026",UNKNOWN,Quality-Weighted Entrenchment Specification
QUERY_ANSWER_SPEC_V1.md,296,2026-02-16*,UNKNOWN,Query Answer Specification V1.0
Queue_Policy_v18_2_0.md,1,,UNKNOWN,Queue Policy: user uploads priority=100; nightly expansion priority=10.
QuickStart_v19.md,6,,UNKNOWN,Quick Start
QuickStart_v20_2_1.md,36,,UNKNOWN,QuickStart — Article Eater v20.2.1
RAG_LLM_Direction_Consensus_Runbook.md,88,,UNKNOWN,RAG + LLM Direction Consensus (No HITL)
REALTIME_TABLE_RULE_PRODUCTION_LINE_2026-02-13.md,118,2026-02-13),UNKNOWN,Realtime Table/Rule Production Line (2026-02-13)
RELEASE_NOTES_v18_2_0.md,2,2025-11-14,UNKNOWN,RELEASE NOTES — v18.2.0 — 2025-11-14
RELEASE_NOTES_v18_3.md,10,2025-11-14,UNKNOWN,RELEASE NOTES — v18.3 — 2025-11-14
RELEASE_NOTES_v19.1.5.md,9,Date:** 2025-11-15 21:39:36,UNKNOWN,Article Eater v19.1.5
RELEASE_NOTES_v20.0.1.md,6,,UNKNOWN,Article Eater v20.0.1
RELEASE_NOTES_v20.0.2.md,5,,UNKNOWN,Article Eater v20.0.2
RELEASE_NOTES_v20.0.md,24,Date:** 2025-11-15 21:46:41,SUPERSEDED_OR_CAUTION,Article Eater v20.0
RELEASE_NOTES_v20.2.1.md,5,date end-to-end run (submit→complete→seven-panel present).,UNKNOWN,Article Eater v20.2.1
RENAME_SEVEN_PANEL_2026-02-11.md,110,2026-02-11,UNKNOWN,Renaming: seven_panel → article_essence_extraction
REPO_AUDIT_REPORT_2026-02-15.md,620,"February 15, 2026",UNKNOWN,RUTHLESS REPO AUDIT REPORT
REVIEW_MEMORY_I_post.md,87,"February 22, 2026",UNKNOWN,POST-PANEL REVIEW — MEMORY-I (S-02)
REVIEW_MULTI_I_post.md,94,"February 22, 2026",UNKNOWN,POST-PANEL REVIEW — MULTI-I (S-03)
REVIEW_SOCIAL_I_post.md,51,"February 22, 2026",UNKNOWN,POST-PANEL REVIEW — SOCIAL-I (S-01)
RUN_INSTRUCTIONS.md,169,2026,UNKNOWN,Run Instructions: Article Eater V22.0.0 (Post-Quinean)
RUTHLESS_AUDIT_v20_7_3b_STUDENT_HANDOFF.md,145,,UNKNOWN,Ruthless Audit – v20.7.3b Student Handoff
RUTHLESS_CLAUDE_OPUS_RESPONSE_2026-02-08.md,479,"February 8, 2026",SUPERSEDED_OR_CAUTION,Ruthless System Review v5: Article Eater Post-Quinean V22.1.0
RUTHLESS_REVIEW_PROMPT_V5_2026_02_08.md,305,"February 8, 2026",SUPERSEDED_OR_CAUTION,Ruthless System Review v5: Article Eater Post-Quinean V22.1.0
RUTHLESS_SYSTEM_AUDIT_PROMPT_Feb22.md,556,"February 22, 2026",SUPERSEDED_OR_CAUTION,RUTHLESS SYSTEM AUDIT PROMPT — CMR / ARTICLE EATER
RUTHLESS_THREE_MODEL_COMPARISON_2026-02-08.md,198,"February 8, 2026",UNKNOWN,Ruthless Review: Three-Model Comparison
RuleGraph_Mapping_v2.md,54,,UNKNOWN,RuleGraph v2 Mapping from Seven-Panel v2
RuleGraph_v2_Spec.md,58,,UNKNOWN,RuleGraph v2 Specification
Rule_Frontier_Triggers_v18_3.md,6,,UNKNOWN,Rule Frontier Triggers (v18.3)
SECRETS_AND_KEYS.md,160,,UNKNOWN,Secrets and Keys Model
SECURITY_PROFILE.md,56,,UNKNOWN,Article Eater Security Profile
SEMANTIC_MATCHING_CHALLENGES_2026-02-14.md,236,"February 14, 2026",UNKNOWN,Semantic Matching Challenges: Theory Predictions ↔ Extracted Claims
SESSION_HANDOFF_2026-02-12.md,104,2026-02-12,SUPERSEDED_OR_CAUTION,Session Handoff: 2026-02-12
SOCIAL_I_Panel_Output.md,1513,"Date: February 22, 2026",UNKNOWN,"SOCIAL-I EXPERT PANEL OUTPUT: SOCIAL SPACE, PROXEMICS, AND ISOLATION LOAD"
SPATIAL_I_Panel_Output_Feb21.md,1147,"Date: February 21, 2026",UNKNOWN,SPATIAL-I EXPERT PANEL OUTPUT
SPRINT10_CLASSROOM_EXAMPLE_CODEX.md,41,Date: 2026-02-17,UNKNOWN,Sprint 10 Task 3.11: Primary School Classroom Worked Example
SPRINT10_OPEN_PLAN_EXAMPLE_ANTIGRAVITY.md,50,Date: 2026-02-17,UNKNOWN,Sprint 10 Open-Plan Office Worked Example (Antigravity)
SPRINT10_PRIMARY_SCHOOL_EXAMPLE_CODEX_2026-02-17.md,67,Date: 2026-02-17,UNKNOWN,Sprint 10 Primary School Classroom Worked Example (Codex)
SPRINT10_SALK_WORKED_EXAMPLE_CODEX_2026-02-17.md,47,Date: 2026-02-17,UNKNOWN,Sprint 10 Salk Worked Example (Codex)
SPRINT10_VALIDATION_SWEEP_CODEX_2026-02-17.md,71,Date: 2026-02-17,SUPERSEDED_OR_CAUTION,Sprint 10 Validation Sweep (Codex)
SPRINT11_TASK11_4_FEATURE_MAPPING_AUDIT.md,64,Date: 2026-02-17,UNKNOWN,Sprint 11 Task 11.4: Feature-to-Template Input Mapping Audit
SPRINT_12_REGRESSION_REPORT_2026-02-17.md,219,2026-02-17,UNKNOWN,Sprint 12 Full System Regression Report
SPRINT_2.5_DESIGN.md,1088,"February 8, 2026",UNKNOWN,Sprint 2.5: Social Epistemology Design
SPRINT_3.0_PLAN.md,383,2026-02-08,UNKNOWN,"Sprint 3.0 Plan — Unified API, Query Engine, Streamlit Interface, Export"
SPRINT_LIFECYCLE_COMPLETION_2026-02-09.md,88,2026-02-09,UNKNOWN,Sprint LIFECYCLE Completion Report
SPRINT_PLAN_QA_AGENT_2026_02_17.md,759,"February 17, 2026",UNKNOWN,QA Agent Sprint Plan
SPRINT_TASK_BRIEF.md,796,"Last updated: February 22, 2026",CURRENT,CMR PROJECT — COWORK SPRINT TASK BRIEF
SPRINT_TASK_BRIEF_for_Cowork.md,0,,EMPTY,
STIMULUS_DOCUMENTATION_TEMPLATE_2026_02_09.md,462,"February 9, 2026",UNKNOWN,STIMULUS DOCUMENTATION TEMPLATE v1.0
STRATEGIC_TODOS_2026_01_20.md,804,"Date:** January 20, 2026",UNKNOWN,Strategic Development Initiatives: Three Major TODOs
STRATEGIC_TODOS_PROBLEM_ANALYSIS_2026_01_20.md,337,"Date:** January 20, 2026",UNKNOWN,Problem Analysis: Sharpening the Three Strategic TODOs
STREAMLIT_CONTROL_ROOM.md,46,,UNKNOWN,Article Eater Streamlit Control Room
STRESS_I_Panel_Output_Feb21.md,472,"February 21, 2026",UNKNOWN,STRESS-I EXPERT PANEL: Stress Mechanism Calibration
STUDENT_HANDBOOK_v20_4.md,6,date L1 clustering quality; refine crosswalk; run interactions analyzer; triage confl,UNKNOWN,
STUDENT_HOWTO_RULE_GRAPH.md,173,,UNKNOWN,
STUDENT_QUICKSTART_Article_Eater_v20_7_3b.md,158,,UNKNOWN,Article Eater v20.7.3b – Student Quickstart
SUBJECT_COVERAGE_GOVERNANCE.md,94,,UNKNOWN,Subject Typing Governance and Coverage
SYSTEM_AUDIT_REPORT_AG_Feb22_2026.md,302,"February 22, 2026",SUPERSEDED_OR_CAUTION,SYSTEM AUDIT REPORT — AG (Gemini)
SYSTEM_AUDIT_REPORT_Feb22_2026.md,211,2026,SUPERSEDED_OR_CAUTION,SYSTEM_AUDIT_REPORT_Feb22_2026
SYSTEM_AUDIT_REPORT_GEMINI15PRO_A03.md,71,"February 22, 2026",UNKNOWN,SYSTEM AUDIT REPORT — GEMINI 1.5 PRO (A-03)
SYSTEM_INVENTORY_2026-02-11.md,600,2026-02-11,CURRENT,System Inventory: CNfA Evidence Pipeline
SevenPanel_v2_Spec.md,105,,UNKNOWN,Seven-Panel v2 Specification
Sprint10_Execution_Plan.md,622,"February 17, 2026",SUPERSEDED_OR_CAUTION,ENGINEERING OPERATIONS — SPRINT 10 EXECUTION PLAN
Sprint11_Execution_Plan.md,1181,"February 17, 2026",SUPERSEDED_OR_CAUTION,SPRINT 11 EXECUTION PLAN
Sprint11_TASK_CLAIMS.md,74,date this file before starting any task,UNKNOWN,SPRINT 11 TASK CLAIMS
Sprint11_Task_11_18_Validation_Report.md,46,Date: 2026-02-17,UNKNOWN,Sprint 11 Task 11.18 Validation Report
SprintD_Addendum_Abstract_Extraction.md,103,,UNKNOWN,SPRINT D ADDENDUM: Abstract Extraction (Tasks D.14 + D.15)
SprintD_Agent_Prompts.md,103,,UNKNOWN,SPRINT D: AGENT PROMPTS
SprintD_Data_Remediation.md,1081,"February 17, 2026",CURRENT,SPRINT D: DATA REMEDIATION
Sprint_Prompt_V10_Post_SOC_II.md,224,"February 17, 2026",UNKNOWN,ARTICLE EATER — AGENT SPRINT PROMPT V10.0
Sprint_Prompt_V12_Post_VIEW_II.md,187,"February 17, 2026",UNKNOWN,ARTICLE EATER — AGENT SPRINT PROMPT V12.0
Sprint_Prompt_V13_Post_AGE_I.md,171,"February 17, 2026",UNKNOWN,ARTICLE EATER — AGENT SPRINT PROMPT V13.0
Sprint_Prompt_V14_Post_DEV_I.md,154,"February 17, 2026",UNKNOWN,ARTICLE EATER — AGENT SPRINT PROMPT V14.0
Sprint_Prompt_V15_Post_VF_II_CREA_III.md,137,"February 17, 2026",UNKNOWN,ARTICLE EATER — AGENT SPRINT PROMPT V15.0
Sprint_Prompt_V9_Post_TP_II.md,189,"February 17, 2026",UNKNOWN,ARTICLE EATER — AGENT SPRINT PROMPT V9.0
Sprint_Verification_And_Provenance_Tests.md,730,"February 17, 2026",SUPERSEDED_OR_CAUTION,SPRINT VERIFICATION & END-TO-END PROVENANCE TEST SUITE
Sprints_12_13_Consolidated_Plan.md,662,"February 17, 2026",UNKNOWN,SPRINTS 12–13 CONSOLIDATED EXECUTION PLAN
Student_API_Help_Modal.md,1,,UNKNOWN,"Get an API key in Google AI Studio, then paste under Profile → API Keys."
Student_Brief_v18_3.md,5,,UNKNOWN,Student Brief — v18.3
SubjectAware_Workflow.md,70,,UNKNOWN,Subject-Aware Seven-Panel v2 + RuleGraph v2 Workflow
Synthesis_Contradiction_Policy_v18_3.md,5,,UNKNOWN,Synthesis & Contradictions Policy (v18.3)
T1_5_Expansion_Three_Reductions.md,368,"Version 0.1 — February 20, 2026**",UNKNOWN,T1.5 Expansion: Three New Domain Theory Reductions
T1_5_Three_New_Reductions_SpaceSyntax_Soundscape_PlaceAttachment.md,787,"Version 1.0 — February 21, 2026**",UNKNOWN,"T1.5 Formal Reductions: Space Syntax, Soundscape Theory, Place Attachment"
TABLE_EXTRACTION_HAIKU_PLAYBOOK_2026-02-13.md,67,,UNKNOWN,Table Extraction Playbook (Haiku-First)
TABLE_EXTRACTION_QUALITY_MONITORING_2026-02-14.md,42,2026-02-14),UNKNOWN,Table Extraction Quality Monitoring (2026-02-14)
